id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
3762548,BTCUSDT,240,240,1581940800,1581940800,1758.816,9000.0,9800.0,9000.0,9612.5,16906618.8
3762763,BTCUSDT,240,240,1581955200,1581955200,174.072,9612.5,9652.5,9590.0,9597.0,1670568.984
3763331,BTCUSDT,240,240,1581969600,1581969600,0.0,9597.0,9597.0,9597.0,9597.0,0.0
3763729,BTCUSDT,240,240,1581984000,1581984000,747.95,9597.0,9999.0,9000.0,9600.0,7180320.0
3765119,BTCUSDT,240,240,1581998400,1581998400,0.0,9600.0,9600.0,9600.0,9600.0,0.0
3765519,BTCUSDT,240,240,1582012800,1582012800,0.0,9600.0,9600.0,9600.0,9600.0,0.0
3765918,BTCUSDT,240,240,1582027200,1582027200,0.0,9600.0,9600.0,9600.0,9600.0,0.0
3766319,BTCUSDT,240,240,1582041600,1582041600,0.0,9600.0,9600.0,9600.0,9600.0,0.0
3766719,BTCUSDT,240,240,1582056000,1582056000,0.0,9600.0,9600.0,9600.0,9600.0,0.0
3767118,BTCUSDT,240,240,1582070400,1582070400,2.205,9600.0,20000.0,9600.0,11300.0,24916.5
3769981,BTCUSDT,240,240,1582084800,1582084800,85.669,11300.0,20000.0,10067.5,10067.5,862472.6575
3770781,BTCUSDT,240,240,1582099200,1582099200,215.975,10067.5,10212.5,10039.0,10208.0,2204672.8
3771579,BTCUSDT,240,240,1582113600,1582113600,845.485,10208.0,10249.0,10086.5,10135.0,8568990.475
3772304,BTCUSDT,240,240,1582128000,1582128000,476.036,10135.0,10265.5,10122.5,10161.0,4837001.796
3773176,BTCUSDT,240,240,1582142400,1582142400,2629.251,10161.0,10161.0,9384.0,9603.0,25248697.353
3773970,BTCUSDT,240,240,1582156800,1582156800,991.401,9603.0,9647.0,9522.0,9568.5,9486220.4685
3774770,BTCUSDT,240,240,1582171200,1582171200,633.015,9568.5,9615.0,9550.0,9604.0,6079476.06
3775580,BTCUSDT,240,240,1582185600,1582185600,970.043,9604.0,9630.0,9546.0,9579.5,9292526.9185
3776373,BTCUSDT,240,240,1582200000,1582200000,354.619,9579.5,9604.5,9539.0,9584.5,3398845.8055
3777163,BTCUSDT,240,240,1582214400,1582214400,1885.794,9584.5,9665.5,9438.5,9535.5,17981988.687
3777920,BTCUSDT,240,240,1582228800,1582228800,463.943,9535.5,9637.0,9535.5,9602.5,4455012.6575
3778689,BTCUSDT,240,240,1582243200,1582243200,544.976,9602.5,9696.5,9584.5,9690.0,5280817.44
3779568,BTCUSDT,240,240,1582257600,1582257600,374.263,9690.0,9725.0,9660.0,9677.0,3621743.051
3780367,BTCUSDT,240,240,1582272000,1582272000,181.957,9677.0,9703.5,9630.0,9703.5,1765619.7495
3781103,BTCUSDT,240,240,1582286400,1582286400,512.63,9703.5,9740.0,9696.0,9721.5,4983532.545
3781961,BTCUSDT,240,240,1582300800,1582300800,218.672,9721.5,9721.5,9670.0,9683.0,2117400.976
3782772,BTCUSDT,240,240,1582315200,1582315200,708.129,9683.0,9702.0,9609.5,9680.5,6855042.7845
3783569,BTCUSDT,240,240,1582329600,1582329600,85.39,9680.5,9692.5,9645.0,9671.5,825849.385
3784332,BTCUSDT,240,240,1582344000,1582344000,249.873,9671.5,9671.5,9574.0,9614.0,2402279.022
3785146,BTCUSDT,240,240,1582358400,1582358400,185.397,9614.0,9652.0,9612.5,9633.5,1786021.9995
3785965,BTCUSDT,240,240,1582372800,1582372800,212.45,9633.5,9659.5,9626.0,9635.0,2046955.75
3786765,BTCUSDT,240,240,1582387200,1582387200,77.494,9635.0,9674.5,9635.0,9671.0,749444.474
3787567,BTCUSDT,240,240,1582401600,1582401600,71.16,9671.0,9693.5,9671.0,9685.0,689184.6
3788173,BTCUSDT,240,240,1582416000,1582416000,119.295,9685.0,9746.0,9685.0,9746.0,1162649.07
3789152,BTCUSDT,240,240,1582430400,1582430400,564.583,9746.0,9923.0,9746.0,9891.5,5584572.7445
3789926,BTCUSDT,240,240,1582444800,1582444800,546.43,9891.5,10002.0,9835.0,9835.0,5374139.05
3790773,BTCUSDT,240,240,1582459200,1582459200,64.08,9835.0,9910.5,9835.0,9910.5,635064.84
3791485,BTCUSDT,240,240,1582473600,1582473600,38.22,9910.5,9910.5,9868.5,9899.5,378358.89
3792303,BTCUSDT,240,240,1582488000,1582488000,394.662,9899.5,9963.0,9857.0,9963.0,3932017.506
3793155,BTCUSDT,240,240,1582502400,1582502400,1679.792,9963.0,9980.5,9587.0,9768.5,16409048.152
3793945,BTCUSDT,240,240,1582516800,1582516800,200.196,9768.5,9768.5,9700.0,9748.5,1951610.706
3794752,BTCUSDT,240,240,1582531200,1582531200,327.809,9748.5,9799.0,9719.5,9799.0,3212200.391
3795577,BTCUSDT,240,240,1582545600,1582545600,775.768,9799.0,9835.5,9700.0,9700.5,7525337.484
3796379,BTCUSDT,240,240,1582560000,1582560000,716.919,9700.5,9728.0,9507.0,9632.5,6905722.2675
3797137,BTCUSDT,240,240,1582574400,1582574400,434.32,9632.5,9669.5,9585.5,9669.5,4199657.24
3797965,BTCUSDT,240,240,1582588800,1582588800,205.96,9669.5,9674.0,9578.0,9587.5,1974641.5
3798777,BTCUSDT,240,240,1582603200,1582603200,440.4,9587.5,9613.0,9508.5,9534.5,4198993.8
